hospital_name,hospital_type,star_rating,readmit_success_count,readmit_fail_count,community_income,community_population
BROWNFIELD REGIONAL MEDICAL CENTER,Acute Care Hospitals,2,0,1,41406.0,11510.0
CRENSHAW COMMUNITY HOSPITAL,Acute Care Hospitals,2,0,0,39397.0,5844.0
JACKSON MEDICAL CENTER,Acute Care Hospitals,2,0,0,30000.0,9884.0
ST VINCENTS BLOUNT,Critical Access Hospitals,1,0,0,48814.0,15208.0
YUKON KUSKOKWIM DELTA REG HOSPITAL,Acute Care Hospitals,2,0,0,78404.0,7901.0
BANNER GOLDFIELD MEDICAL CENTER,Acute Care Hospitals,5,0,0,38373.0,30621.0
WADLEY REGIONAL MEDICAL CENTER AT HOPE,Acute Care Hospitals,4,0,0,39918.0,16865.0
JOHN C FREMONT HEALTHCARE DISTRICT,Critical Access Hospitals,4,0,0,52725.0,11015.0
ADVENTIST HEALTH CLEARLAKE,Critical Access Hospitals,3,0,1,27161.0,15360.0
ADVENTHEALTH WAUCHULA,Critical Access Hospitals,5,0,0,39958.0,14451.0
NORTHWEST FLORIDA COMMUNITY HOSPITAL,Critical Access Hospitals,2,0,0,37992.0,17083.0
CRAWFORD MEMORIAL HOSPITAL,Critical Access Hospitals,4,0,0,47566.0,11164.0
"COMMUNITY HOSPITAL, ONAGA AND ST MARYS CAMPUS",Critical Access Hospitals,3,0,0,57351.0,1881.0
LASALLE GENERAL HOSPITAL,Acute Care Hospitals,2,0,1,30358.0,7647.0
"CALDWELL MEMORIAL HOSPITAL, INC",Acute Care Hospitals,5,0,0,28337.0,6481.0
EAST CARROLL PARISH HOSPITAL,Acute Care Hospitals,2,0,0,19315.0,6840.0
ABROM KAPLAN MEMORIAL HOSPITAL,Critical Access Hospitals,4,0,0,39148.0,10712.0
RUMFORD  HOSPITAL,Critical Access Hospitals,2,0,0,30777.0,5730.0
HOULTON REGIONAL HOSPITAL,Critical Access Hospitals,3,0,0,40833.0,9777.0
SEBASTICOOK VALLEY HEALTH,Critical Access Hospitals,2,1,1,47765.0,4092.0
TISHOMINGO HEALTH SERVICES INC,Acute Care Hospitals,4,1,0,43530.0,9342.0
ALLIANCE HEALTHCARE SYSTEM,Acute Care Hospitals,2,0,1,37461.0,15608.0
COVINGTON COUNTY HOSPITAL CAH,Critical Access Hospitals,4,1,0,35833.0,9567.0
WASHINGTON COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,3,1,1,37366.0,8810.0
ANDROSCOGGIN VALLEY HOSPITAL,Critical Access Hospitals,3,1,0,37969.0,10273.0
MERCY HEALTH - URBANA HOSPITAL,Critical Access Hospitals,5,1,0,48792.0,20685.0
PUSHMATAHA HOSPITAL,Acute Care Hospitals,2,0,0,35347.0,5961.0
CLAREMORE INDIAN HOSPITAL,Acute Care Hospitals,4,0,0,51635.0,28184.0
HENDERSON COUNTY COMMUNITY HOSPITAL,Acute Care Hospitals,3,0,0,41679.0,17552.0
PERRY COMMUNITY HOSPITAL,Acute Care Hospitals,4,0,0,32433.0,5669.0
STONES RIVER HOSPITAL,Acute Care Hospitals,5,2,0,46941.0,8477.0
CHRISTUS SPOHN HOSPITAL BEEVILLE,Acute Care Hospitals,3,0,0,45246.0,28648.0
TYLER COUNTY HOSPITAL,Acute Care Hospitals,2,0,0,40079.0,12384.0
SEYMOUR HOSPITAL,Acute Care Hospitals,5,0,0,36437.0,3633.0
MT ASCUTNEY HOSPITAL,Critical Access Hospitals,4,0,0,52549.0,4767.0
CARILION TAZEWELL COMMUNITY HOSPITAL,Acute Care Hospitals,2,0,2,45896.0,5807.0
ST MARYS HOSPITAL SUPERIOR,Critical Access Hospitals,3,0,0,46113.0,30137.0
MARION REGIONAL MEDICAL CENTER,Acute Care Hospitals,5,1,0,38673.0,11540.0
LAWRENCE MEDICAL CENTER,Acute Care Hospitals,4,0,0,45010.0,14241.0
CLAY COUNTY HOSPITAL,Acute Care Hospitals,3,0,0,32769.0,5222.0
GROVE HILL MEMORIAL HOSPITAL,Acute Care Hospitals,4,1,0,45793.0,4701.0
LA PAZ REGIONAL HOSPITAL,Critical Access Hospitals,2,0,0,35970.0,10537.0
CHAMBERS MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,0,42356.0,4232.0
MAGNOLIA HOSPITAL,Acute Care Hospitals,2,0,0,39331.0,16813.0
BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,Critical Access Hospitals,2,0,0,37101.0,15175.0
ASHLEY COUNTY MEDICAL CENTER,Critical Access Hospitals,3,1,0,36179.0,12081.0
JAY HOSPITAL,Acute Care Hospitals,2,0,1,46074.0,4904.0
HEALTHMARK REGIONAL MEDICAL CENTER,Acute Care Hospitals,4,0,0,41555.0,7610.0
ED FRASER MEMORIAL HOSPITAL,Acute Care Hospitals,3,0,0,62878.0,14081.0
ASCENSION SACRED HEART GULF,Acute Care Hospitals,3,0,0,47440.0,7943.0
NORTHRIDGE MEDICAL CENTER,Acute Care Hospitals,3,1,0,44854.0,10766.0
ADVENTHEALTH MURRAY,Acute Care Hospitals,5,1,0,41646.0,33534.0
EVANS MEMORIAL HOSPITAL,Acute Care Hospitals,4,0,0,39013.0,10873.0
"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH",Critical Access Hospitals,4,1,0,55026.0,18184.0
STEELE MEMORIAL MEDICAL CENTER,Critical Access Hospitals,3,0,0,36447.0,5899.0
HSHS GOOD SHEPHERD HOSPITAL,Acute Care Hospitals,4,1,0,44497.0,7083.0
HSHS HOLY FAMILY HOSPITAL INC,Acute Care Hospitals,4,1,0,58532.0,10092.0
OSF SAINT PAUL MEDICAL CENTER,Critical Access Hospitals,1,1,0,56953.0,8856.0
NORTHWEST HEALTH - STARKE,Acute Care Hospitals,4,0,0,44363.0,11595.0
INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,Critical Access Hospitals,3,1,0,48333.0,14478.0
"INDIANA UNIVERSITY HEALTH JAY, INC.",Critical Access Hospitals,2,1,0,45605.0,12613.0
PARKVIEW LAGRANGE HOSPITAL,Critical Access Hospitals,4,1,0,52854.0,12315.0
KEOKUK AREA HOSPITAL,Acute Care Hospitals,3,0,0,40899.0,12800.0
CLARINDA REGIONAL HEALTH CENTER,Critical Access Hospitals,3,1,0,46694.0,7051.0
HENRY COUNTY HEALTH CENTER,Critical Access Hospitals,3,0,0,51480.0,12008.0
CRAWFORD COUNTY MEMORIAL HOSPITAL,Critical Access Hospitals,2,0,1,50641.0,9922.0
BOONE COUNTY HOSPITAL,Critical Access Hospitals,3,1,0,53042.0,16261.0
MAHASKA  HEALTH PARTNERSHIP,Critical Access Hospitals,4,1,0,48228.0,15335.0
CLAY COUNTY MEDICAL CENTER,Critical Access Hospitals,3,2,0,54352.0,5698.0
MEMORIAL HOSPITAL,Critical Access Hospitals,2,0,0,49987.0,9953.0
CRITTENDEN COMMUNITY HOSPITAL,Acute Care Hospitals,2,0,0,40096.0,8254.0
"ROCKCASTLE COUNTY HOSPITAL, INC.",Acute Care Hospitals,1,0,1,35055.0,9728.0
MARCUM AND WALLACE MEMORIAL HOSPITAL,Critical Access Hospitals,3,1,0,29704.0,12665.0
SPRINGHILL MEDICAL CENTER,Acute Care Hospitals,5,2,0,28125.0,6238.0
WINN PARISH MEDICAL CENTER,Acute Care Hospitals,1,0,1,27387.0,10155.0
OAKDALE COMMUNITY HOSPITAL,Acute Care Hospitals,2,0,1,35577.0,10049.0
DESOTO REGIONAL HEALTH SYSTEM,Acute Care Hospitals,3,0,0,30129.0,9546.0
RICHARDSON MEDICAL CENTER,Acute Care Hospitals,3,1,0,34173.0,12684.0
CITIZENS MEDICAL CENTER,Acute Care Hospitals,4,0,0,28337.0,6481.0
SABINE MEDICAL CENTER,Acute Care Hospitals,3,1,0,42589.0,9234.0
MOUNT DESERT ISLAND HOSPITAL,Critical Access Hospitals,3,0,0,53053.0,5356.0
